time 		gpv001pnt10113ppntm		evf507ety101mpzoyout		chtcon(1)		chavg(1)		chlhsumpa		rcptavgn	time 		rcpppzr		rcp054rcp007mnzoyout		rcv501std0102fvol		fwfrcp001gv		rcppmssga		msfsg(1)	
00:01:01:200		6.833910E+06		100.031		35.4814		0.00548345		0.000568992		309.86	00:01:01:200		1.547790E+07		0.167652		2.85563		529.588		6.967480E+06		526.62	
00:01:01:100		6.833900E+06		100.031		35.4814		0.00548345		0.000568992		309.86	00:01:01:100		1.547790E+07		0.167656		2.85554		529.588		6.967480E+06		526.62	
00:01:01:000		6.833890E+06		100.031		35.4814		0.00548345		0.000568992		309.86	00:01:01:000		1.547790E+07		0.167658		2.85549		529.59		6.967470E+06		526.621	
00:01:00:899		6.833880E+06		100.031		35.4844		0.00499933		0.000566641		309.86	00:01:00:899		1.547790E+07		0.167662		2.85536		529.59		6.967460E+06		526.622	
00:01:00:799		6.833880E+06		100.031		35.4844		0.00499933		0.000566641		309.86	00:01:00:799		1.547790E+07		0.167665		2.85531		529.59		6.967460E+06		526.622	
00:01:00:700		6.833870E+06		100.031		35.4873		0.00451523		0.00056429		309.86	00:01:00:700		1.547790E+07		0.167668		2.85522		529.591		6.967450E+06		526.622	
00:01:00:700		6.833870E+06		100.031		35.4873		0.00451523		0.00056429		309.86	00:01:00:700		1.547790E+07		0.167668		2.85522		529.591		6.967450E+06		526.622	
00:01:00:600		6.833860E+06		100.031		35.4873		0.00451523		0.00056429		309.86	00:01:00:600		1.547790E+07		0.167671		2.85508		529.591		6.967440E+06		526.624	
00:01:00:399		6.833850E+06		100.031		35.4903		0.00451526		0.000561938		309.86	00:01:00:399		1.547790E+07		0.167677		2.85494		529.591		6.967430E+06		526.623	
00:01:00:299		6.833840E+06		100.031		35.4903		0.00451526		0.000561938		309.86	00:01:00:299		1.547790E+07		0.16768		2.8549		529.591		6.967420E+06		526.616	
00:01:00:200		6.833840E+06		100.031		35.4933		0.00451528		0.000559587		309.86	00:01:00:200		1.547790E+07		0.167684		2.85476		529.591		6.967420E+06		526.625	
00:01:00:200		6.833840E+06		100.031		35.4933		0.00451528		0.000559587		309.86	00:01:00:200		1.547790E+07		0.167684		2.85476		529.591		6.967420E+06		526.625	
00:01:00:100		6.833830E+06		100.031		35.4933		0.00451528		0.000559587		309.86	00:01:00:100		1.547790E+07		0.167686		2.85467		529.593		6.967410E+06		526.625	
00:00:59:950		6.833820E+06		100.031		35.4963		0.00451528		0.000557236		309.86	00:00:59:950		1.547790E+07		0.167691		2.85462		529.593		6.967400E+06		526.628	
00:00:59:850		6.833810E+06		100.031		35.4963		0.00451528		0.000557236		309.859	00:00:59:850		1.547790E+07		0.167695		2.85453		529.593		6.967390E+06		526.629	
00:00:59:750		6.833800E+06		100.032		35.4963		0.00451528		0.000557236		309.859	00:00:59:750		1.547790E+07		0.167698		2.85448		529.595		6.967380E+06		526.629	
00:00:59:649		6.833800E+06		100.032		35.4993		0.00451528		0.000554885		309.859	00:00:59:649		1.547780E+07		0.167701		2.8543		529.595		6.967380E+06		526.63	
00:00:59:549		6.833790E+06		100.032		35.4993		0.00451528		0.000554885		309.859	00:00:59:549		1.547780E+07		0.167704		2.85426		529.595		6.967370E+06		526.631	
00:00:59:350		6.833780E+06		100.032		35.5023		0.00451528		0.000552534		309.859	00:00:59:350		1.547780E+07		0.167711		2.85412		529.597		6.967360E+06		526.631	
00:00:59:250		6.833770E+06		100.032		35.5023		0.00451531		0.000552534		309.859	00:00:59:250		1.547780E+07		0.167714		2.85398		529.597		6.967350E+06		526.632	
00:00:59:250		6.833770E+06		100.032		35.5023		0.00451531		0.000552534		309.859	00:00:59:250		1.547780E+07		0.167714		2.85398		529.597		6.967350E+06		526.632	
00:00:59:100		6.833760E+06		100.032		35.5054		0.00451531		0.000550182		309.859	00:00:59:100		1.547780E+07		0.167719		2.85384		529.599		6.967340E+06		526.635	
00:00:59:100		6.833760E+06		100.032		35.5054		0.00451531		0.000550182		309.859	00:00:59:100		1.547780E+07		0.167719		2.85384		529.599		6.967340E+06		526.635	
00:00:59:000		6.833750E+06		100.032		35.5054		0.00451531		0.000550182		309.859	00:00:59:000		1.547780E+07		0.167723		2.85388		529.599		6.967330E+06		526.635	
00:00:58:899		6.833740E+06		100.032		35.5084		0.00451533		0.000547831		309.859	00:00:58:899		1.547780E+07		0.167727		2.85375		529.599		6.967330E+06		526.636	
00:00:58:799		6.833740E+06		100.032		35.5084		0.00451533		0.000547831		309.859	00:00:58:799		1.547780E+07		0.16773		2.8537		529.599		6.967320E+06		526.637	
00:00:58:600		6.833720E+06		100.032		35.5114		0.00451533		0.00054548		309.859	00:00:58:600		1.547780E+07		0.167737		2.85356		529.601		6.967310E+06		526.64	
00:00:58:600		6.833720E+06		100.032		35.5114		0.00451533		0.00054548		309.859	00:00:58:600		1.547780E+07		0.167737		2.85356		529.601		6.967310E+06		526.64	
00:00:58:500		6.833710E+06		100.032		35.5114		0.00451533		0.00054548		309.859	00:00:58:500		1.547780E+07		0.167741		2.85347		529.601		6.967300E+06		526.64	
00:00:58:299		6.833700E+06		100.032		35.5145		0.00451533		0.000543129		309.859	00:00:58:299		1.547780E+07		0.167748		2.85333		529.601		6.967290E+06		526.641	
00:00:58:200		6.833690E+06		100.032		35.5175		0.00451533		0.000540778		309.859	00:00:58:200		1.547780E+07		0.167752		2.85319		529.601		6.967280E+06		526.641	
00:00:58:200		6.833690E+06		100.032		35.5175		0.00451533		0.000540778		309.859	00:00:58:200		1.547780E+07		0.167752		2.85319		529.601		6.967280E+06		526.641	
00:00:58:100		6.833680E+06		100.032		35.5175		0.00451533		0.000540778		309.859	00:00:58:100		1.547780E+07		0.167756		2.85315		529.601		6.967270E+06		526.644	
00:00:58:000		6.833680E+06		100.033		35.5175		0.00451533		0.000540778		309.859	00:00:58:000		1.547780E+07		0.167759		2.85301		529.601		6.967270E+06		526.645	
00:00:57:850		6.833670E+06		100.033		35.5205		0.00451533		0.000538427		309.859	00:00:57:850		1.547780E+07		0.167765		2.85301		529.603		6.967260E+06		526.646	
00:00:57:750		6.833660E+06		100.033		35.5205		0.00451533		0.000538427		309.859	00:00:57:750		1.547780E+07		0.167769		2.85287		529.604		6.967250E+06		526.646	
00:00:57:649		6.833650E+06		100.033		35.5236		0.00451536		0.000536075		309.859	00:00:57:649		1.547780E+07		0.167772		2.85274		529.604		6.967240E+06		526.635	
00:00:57:549		6.833640E+06		100.033		35.5236		0.00451536		0.000536075		309.858	00:00:57:549		1.547780E+07		0.167778		2.85273		529.603		6.967230E+06		526.646	
00:00:57:549		6.833640E+06		100.033		35.5236		0.00451536		0.000536075		309.858	00:00:57:549		1.547780E+07		0.167778		2.85273		529.603		6.967230E+06		526.646	
00:00:57:299		6.833630E+06		100.033		35.5267		0.00451542		0.000533724		309.858	00:00:57:299		1.547780E+07		0.167787		2.85259		529.604		6.967220E+06		526.651	
00:00:57:200		6.833620E+06		100.033		35.5298		0.00451543		0.000531373		309.858	00:00:57:200		1.547770E+07		0.16779		2.85246		529.604		6.967210E+06		526.655	
00:00:57:200		6.833620E+06		100.033		35.5298		0.00451543		0.000531373		309.858	00:00:57:200		1.547770E+07		0.16779		2.85246		529.604		6.967210E+06		526.655	
00:00:57:100		6.833610E+06		100.033		35.5298		0.00451543		0.000531373		309.858	00:00:57:100		1.547770E+07		0.167794		2.85237		529.606		6.967200E+06		526.655	
00:00:57:000		6.833600E+06		100.033		35.5298		0.00451543		0.000531373		309.858	00:00:57:000		1.547770E+07		0.167799		2.85228		529.606		6.967200E+06		526.655	
00:00:56:899		6.833600E+06		100.033		35.5328		0.00451543		0.000529022		309.858	00:00:56:899		1.547770E+07		0.167803		2.85218		529.606		6.967190E+06		526.655	
00:00:56:799		6.833590E+06		100.033		35.5328		0.00451543		0.000529022		309.858	00:00:56:799		1.547770E+07		0.167807		2.85214		529.606		6.967180E+06		526.661	
00:00:56:700		6.833580E+06		100.033		35.5359		0.00451543		0.000526671		309.858	00:00:56:700		1.547770E+07		0.167811		2.85209		529.608		6.967180E+06		526.658	
00:00:56:600		6.833570E+06		100.033		35.5359		0.00451543		0.000526671		309.858	00:00:56:600		1.547770E+07		0.167815		2.852		529.608		6.967170E+06		526.662	
00:00:56:500		6.833560E+06		100.033		35.5359		0.00451543		0.000526671		309.858	00:00:56:500		1.547770E+07		0.167819		2.85191		529.608		6.967160E+06		526.663	
00:00:56:399		6.833560E+06		100.033		35.539		0.00451547		0.00052432		309.858	00:00:56:399		1.547770E+07		0.167824		2.85186		529.608		6.967160E+06		526.663	
00:00:56:299		6.833550E+06		100.033		35.539		0.00451547		0.00052432		309.858	00:00:56:299		1.547770E+07		0.167829		2.85177		529.608		6.967150E+06		526.666	
00:00:56:200		6.833540E+06		100.034		35.5421		0.00451552		0.000521968		309.858	00:00:56:200		1.547770E+07		0.167833		2.85177		529.61		6.967140E+06		526.667	
00:00:56:100		6.833530E+06		100.034		35.5421		0.00451552		0.000521968		309.858	00:00:56:100		1.547770E+07		0.167837		2.85163		529.608		6.967140E+06		526.668	
00:00:56:000		6.833530E+06		100.034		35.5421		0.00451552		0.000521968		309.858	00:00:56:000		1.547770E+07		0.167841		2.85158		529.61		6.967130E+06		526.668	
00:00:55:899		6.833520E+06		100.034		35.5452		0.00451554		0.000519617		309.858	00:00:55:899		1.547770E+07		0.167846		2.85149		529.61		6.967120E+06		526.662	
00:00:55:799		6.833510E+06		100.034		35.5452		0.00451554		0.000519617		309.858	00:00:55:799		1.547770E+07		0.16785		2.85145		529.61		6.967120E+06		526.672	
00:00:55:700		6.833510E+06		100.034		35.5483		0.00451553		0.000517266		309.858	00:00:55:700		1.547770E+07		0.167855		2.85136		529.61		6.967110E+06		526.697	
00:00:55:600		6.833500E+06		100.034		35.5483		0.00451553		0.000517266		309.858	00:00:55:600		1.547770E+07		0.16786		2.85126		529.61		6.967100E+06		526.679	
